created_at,sentimental_value,sentiment_value_r,hashtags
Sun Mar 22 12:52:44 +0000 2020,0,0,nan
Sun Mar 22 12:37:37 +0000 2020,0,0,isupportyou support coronafighters jantacurfew curfew isupportcurfew supportmodiji modi modipower supportmodi corona
Sun Mar 22 12:49:42 +0000 2020,0.072222222,1,corona staysafe socialdistancing safe takecareofyourself writings
Sun Mar 22 12:09:43 +0000 2020,0,0,corona coronaviruspandemic coronavirusoutbreak india hostel home indialockdown
Sun Mar 22 12:51:42 +0000 2020,0.75,1,corona coronaeffect game
Sun Mar 22 13:02:47 +0000 2020,0.533333333,1,alone mybit indiafightscorona corona jantacurfew stayathome covid19 workwithmahesh janatacurfew lucknowigers lucknowcity
Sun Mar 22 13:08:20 +0000 2020,0.375,1,coronavirus janatacurfew corona
Sun Mar 22 13:10:14 +0000 2020,0,0,corona UnitedWeAre
Sun Mar 22 13:13:46 +0000 2020,0,0,janatacurfew
Sun Mar 22 14:07:13 +0000 2020,0.5,1,jantacerfueday corona virus Safety standforindia weareone yuthicon
Sun Mar 22 13:54:39 +0000 2020,0,0,staysafefromcorona gocorona kickcoronavirus theenthusiartist
Sun Mar 22 14:50:27 +0000 2020,-0.145833333,-1,jaihind besafe jantacurfew quarantine corona goaway sanitize
Sun Mar 22 13:52:34 +0000 2020,0,0,nan
Sun Mar 22 13:14:46 +0000 2020,0,0,nan
Sun Mar 22 14:43:05 +0000 2020,-0.125,-1,jantacurfew covid2019 coronavirus staysafe modified india gocorona corona picoftheday memes funnymemes lol
Sun Mar 22 13:27:06 +0000 2020,0,0,nan
Sun Mar 22 15:03:10 +0000 2020,0,0,janatacurfew corona coronavirus covid19 indiafightscorona
Sun Mar 22 13:47:50 +0000 2020,0.392676768,1,jaihind vandematram corona jantacurfew janatacurfew nocoronavirus tiktok sunday
Sun Mar 22 13:20:40 +0000 2020,0.042857143,1,Sunday Corona Virus Locked Lockdown Highway India FightAgainstCorona Pause SaveYourself Elektronomist POTD NH Highways Jaipur Delhi Behror
Sun Mar 22 13:52:05 +0000 2020,0.6,1,5baje5minute thaalibajao indiacomestogether corona coronavirusitalianews covid19
Sun Mar 22 13:25:48 +0000 2020,0,0,jantacurfew instapic instagood gocoronacoronago corona IN igersthane easternexpresshighway instagram
Sun Mar 22 16:20:59 +0000 2020,0.633333333,1,jantacurfew corona coronavirus coronavirus fighter salute salute
Sun Mar 22 15:12:02 +0000 2020,-0.3,-1,gocoronago EverydayMumbai jantacarfew corona coronavirus indiafightscorona togetherwecan MumbaiMeriJaan covid19 MUMBAI thali clap ourheros Proud
Sun Mar 22 15:47:29 +0000 2020,0.75,1,GoCoronaGo Jantacurfew Corona covid19 coronavirusoutbreak
Sun Mar 22 15:48:21 +0000 2020,0.625,1,coronafighters indiafightscorona covid19 proudindian
Sun Mar 22 15:15:09 +0000 2020,-0.25,-1,keepingthedistance staysafe stayhome
Sun Mar 22 15:35:07 +0000 2020,0.4,1,nan
Sun Mar 22 15:26:15 +0000 2020,0.136363636,1,nan
Sun Mar 22 15:28:05 +0000 2020,-0.5,-1,jantacurfew PMNarendramodiJi
Sun Mar 22 17:02:17 +0000 2020,0.4,1,india covid19 corona doctors
Sun Mar 22 17:01:49 +0000 2020,-0.033333333,-1,clapclap corona clap pm 5bje5minute merabharatmahan jantacurfew careforu indiafightback
Sun Mar 22 15:20:36 +0000 2020,-0.05,-1,italy fightagainstcoronavirus
Sun Mar 22 15:35:29 +0000 2020,0.68359375,1,covid19 covid19 corona coronavirusoutbreak coronavirus jantacurfew humanitymustrise humanitymustprevail humanity humanityfirst
Sun Mar 22 17:08:23 +0000 2020,0.5,1,jantacurfew Uttarakhand Corona Coronavirus NewTehri Thankyou India love People awareness Indian Pahadi uttarakhandheaven uttarakhandtraveller weloveindia
Sun Mar 22 18:09:44 +0000 2020,0.4,1,quoteoftheday positivevibes StaySafe StayIndoor CoronaEffect corona instagramquotes quotestoliveby iwritewhatyoufeel ilovequotes
Sun Mar 22 19:33:57 +0000 2020,0,0,Corona pandemic Covid19
Sun Mar 22 19:36:14 +0000 2020,0.14,1,mumbai jantacurfew fightagainstcorona corona covid19
Sun Mar 22 19:26:56 +0000 2020,0,0,corona Coronavirus Coronavirusupdate
Sun Mar 22 19:39:13 +0000 2020,0,0,coronavirusindia coronavirusmozambique coronavirusafrica coronavirusoutbreak corona
Sun Mar 22 19:23:21 +0000 2020,0,0,jantacurfew home safehands thebravehearts corona india
Sun Mar 22 19:03:55 +0000 2020,0,0,living someone riskofcoronavirus protocol covid19 corona indiafightscorona coronavirusinindia
Sun Mar 22 18:46:49 +0000 2020,0,0,india newvlog
Sun Mar 22 21:02:11 +0000 2020,0.540690104,1,youngthunder streetphilosophy besafe corona virus focused health living staywoke
Sun Mar 22 21:04:57 +0000 2020,-0.2,-1,motivational standforsomething goalsetting truth corona virus besafe
Sun Mar 22 23:53:21 +0000 2020,0,0,SpringWhereAreYou Spring Woods Hike GetOutside FreshAir Adventure SelfQuarantined QuaranTIME Family Corona CoronaVirus Covid Covid19
